SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2012S2,TOTAL,Y069,F,POP,,33506
2012S2,TOTAL,Y069,TOTAL,POP,,63249
2012S2,TOTAL,Y070,M,POP,,26355
2012S2,TOTAL,Y070,F,POP,,29890
2012S2,TOTAL,Y070,TOTAL,POP,,56245
2012S2,TOTAL,Y071,M,POP,,28536
2012S2,TOTAL,Y071,F,POP,,32531
2012S2,TOTAL,Y071,TOTAL,POP,,61067
2012S2,TOTAL,Y072,M,POP,,24489
2012S2,TOTAL,Y072,F,POP,,28212
2012S2,TOTAL,Y072,TOTAL,POP,,52701
2012S2,TOTAL,Y073,M,POP,,19332
2012S2,TOTAL,Y073,F,POP,,23001
2012S2,TOTAL,Y073,TOTAL,POP,,42333
2012S2,TOTAL,Y074,M,POP,,23068
2012S2,TOTAL,Y074,F,POP,,27967
