Suma de Any,Suma de Coneguts,Suma de Detencions,Suma de Mes,Àrea Bàsica Policial (ABP),Nom mes,Suma de Resolts,Regió Policial (RP),Tipus de fet,Títol Codi Penal
28245,125,7,42,ABP Alt Empordà - Figueres,març,59,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,61,5,143,ABP Alt Empordà - Figueres,novembre,37,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1597,76,143,ABP Alt Empordà - Figueres,novembre,296,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,672,112,143,ABP Alt Empordà - Figueres,novembre,144,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,683,57,143,ABP Alt Empordà - Figueres,novembre,80,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,116,65,143,ABP Alt Empordà - Figueres,novembre,64,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,123,22,143,ABP Alt Empordà - Figueres,novembre,66,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
24208,43,1,120,ABP Alt Empordà - Figueres,octubre,25,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,1669,69,130,ABP Alt Empordà - Figueres,octubre,304,RP Girona,Furt,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,577,92,130,ABP Alt Empordà - Figueres,octubre,145,RP Girona,Robatori amb força,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,668,46,130,ABP Alt Empordà - Figueres,octubre,71,RP Girona,Robatori amb força interior vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,122,55,130,ABP Alt Empordà - Figueres,octubre,62,RP Girona,Robatori amb violència i/o intimidació,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,132,10,130,ABP Alt Empordà - Figueres,octubre,54,RP Girona,Robatori i furt d'us de vehicle,Delictes contra el patrimoni i contra l’ordre socioeconòmic
26221,62,0,117,ABP Alt Empordà - Figueres,setembre,31,RP Girona,Apropiació indeguda,Delictes contra el patrimoni i contra l’ordre socioeconòmic
