 Visitants estrangers amb destinació principal a Catalunya. Per motiu del viatge, tipus de viatger, via d'accés, país de residència, forma d'organització i mes
Tipus de viatger / Motiu del viatge / temps
Mètriques: Visitants
Destinació principal: Catalunya

Via d'accés:Total
País de residència:Total
forma d'organització viatge:Total
(p);"Dada provisional"
(*);"Estimació amb alta variabilitat"
(u);"Dada amb baixa fiabilitat"
(:);"Dada no disponible"
Font: Idescat, a partir de dades de l'Estadística de moviments turístics en frontera i Enquesta de despesa turística de l'INE.
https://www.idescat.cat/visor/?id=turest&dataset=1&cc=true&cm=factor_ind_factor&cd=t.mes,terr.ccaa,mv.mv,tv.tv&cf=t.mes[202405]&rows=temps_24050&filters=territori_emtf_25077.09&rows=n4_emtf_dim_motiu_princ_viatg_25076&columns=n4_emtf_dim_codi_questionari_25072&filters=concept.factor_ind_factor&tc=true&tm=factor_ind_factor&td=t.mes,terr.ccaa,mv.mv,tv.tv,factor_ind_factor#
"temps";"Destinació principal";"Motiu del viatge";"Tipus de viatger";Mètriques;Valors;estatus;Dada provisional;
"12/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"308,3";"";""
"12/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1110,1";"";""
"11/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"825";"";""
"11/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"274,8";"";""
"11/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1099,8";"";""
"10/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1434,2";"";""
"10/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"421,5";"";""
"10/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1855,8";"";""
"09/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1760,7";"";""
"09/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"461";"";""
"09/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2221,7";"";""
"08/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"2218,4";"";""
"08/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"495,2";"";""
"08/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2713,5";"";""
"07/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"2134,3";"";""
"07/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"711,1";"";""
"07/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2845,3";"";""
"06/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1823,7";"";""
"06/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"405,7";"";""
"06/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"2229,4";"";""
"05/2019";"Catalunya";"Oci, lleure i vacances";"Turista";"Visitants (milers)";"1535,6";"";""
"05/2019";"Catalunya";"Oci, lleure i vacances";"Excursionista";"Visitants (milers)";"450,5";"";""
"05/2019";"Catalunya";"Oci, lleure i vacances";"Total";"Visitants (milers)";"1986,1";"";""
