id_infant_jove,data_entrada_sistema,any_entrada_sistema,mes_entrada_sistema,Servei_territorial_gestio_cas,data_naixement_infant,sexe_infant,Origen_infant
85148,09/10/2015,2015,10Octubre,Barcelona ciutat,10/09/2000,Nois,Marroc
85173,10/10/2015,2015,10Octubre,Barcelona ciutat,03/10/2001,Nois,Marroc
85171,10/10/2015,2015,10Octubre,Barcelona ciutat,15/11/1999,Nois,Marroc
85174,10/10/2015,2015,10Octubre,Barcelona ciutat,13/03/1999,Nois,Marroc
85172,10/10/2015,2015,10Octubre,Barcelona comarques,01/01/2000,Nois,Marroc
85189,14/10/2015,2015,10Octubre,Àrea Metropolitana BCN,12/10/1998,Noies,Altra
85219,14/10/2015,2015,10Octubre,Barcelona ciutat,31/12/1999,Nois,Altra
85255,15/10/2015,2015,10Octubre,Barcelona ciutat,20/07/1998,Nois,Magreb (excloent Marroc)
85220,15/10/2015,2015,10Octubre,Barcelona comarques,14/07/2000,Nois,Altra
85254,15/10/2015,2015,10Octubre,Barcelona ciutat,31/12/1997,Nois,Marroc
85321,16/10/2015,2015,10Octubre,Barcelona ciutat,15/04/2003,Nois,Marroc
85320,16/10/2015,2015,10Octubre,Barcelona ciutat,04/04/1998,Nois,Països Subsharians
85323,16/10/2015,2015,10Octubre,Barcelona comarques,31/12/1998,Nois,Altra
85319,16/10/2015,2015,10Octubre,Barcelona comarques,15/11/1998,Nois,Marroc
85326,18/10/2015,2015,10Octubre,Barcelona ciutat,02/08/2000,Nois,Marroc
85327,18/10/2015,2015,10Octubre,Barcelona ciutat,01/01/1998,Nois,Marroc
85366,19/10/2015,2015,10Octubre,Barcelona comarques,31/12/1998,Nois,Marroc
85370,19/10/2015,2015,10Octubre,Barcelona ciutat,31/12/1998,Nois,Marroc
85328,19/10/2015,2015,10Octubre,Barcelona ciutat,13/10/1999,Nois,Marroc
85400,20/10/2015,2015,10Octubre,Barcelona comarques,26/12/1999,Nois,Països Subsharians
85394,20/10/2015,2015,10Octubre,Barcelona ciutat,13/09/1998,Nois,Altra
85428,21/10/2015,2015,10Octubre,Barcelona ciutat,01/01/1998,Nois,Marroc
85433,21/10/2015,2015,10Octubre,Barcelona ciutat,31/12/1997,Nois,Altra
85458,23/10/2015,2015,10Octubre,Barcelona ciutat,31/12/2000,Nois,Marroc
85481,24/10/2015,2015,10Octubre,Barcelona ciutat,16/10/1998,Nois,Magreb (excloent Marroc)
85482,24/10/2015,2015,10Octubre,Barcelona ciutat,21/12/1999,Nois,Magreb (excloent Marroc)
85483,24/10/2015,2015,10Octubre,Barcelona ciutat,09/10/1999,Nois,Magreb (excloent Marroc)
85484,25/10/2015,2015,10Octubre,Barcelona ciutat,20/02/1999,Nois,Magreb (excloent Marroc)
85486,25/10/2015,2015,10Octubre,Barcelona ciutat,19/10/1998,Nois,Magreb (excloent Marroc)
85485,25/10/2015,2015,10Octubre,Barcelona ciutat,25/03/1998,Nois,Magreb (excloent Marroc)
85516,26/10/2015,2015,10Octubre,Barcelona ciutat,10/10/1998,Nois,Marroc
85603,29/10/2015,2015,10Octubre,Barcelona ciutat,15/05/1998,Nois,Marroc
85629,30/10/2015,2015,10Octubre,Barcelona comarques,31/12/1999,Nois,Marroc
85628,30/10/2015,2015,10Octubre,Barcelona ciutat,31/12/1997,Nois,Països Subsharians
85630,30/10/2015,2015,10Octubre,Barcelona ciutat,31/12/1998,Nois,Països Subsharians
