SEMESTER,CAT,AGE,SEX,CONCEPT,status,value
2024S1,TOTAL,Y053,TOTAL,POP,p,122518
2024S1,TOTAL,Y054,M,POP,p,59441
2024S1,TOTAL,Y054,F,POP,p,58814
2024S1,TOTAL,Y054,TOTAL,POP,p,118255
2024S1,TOTAL,Y055,M,POP,p,58353
2024S1,TOTAL,Y055,F,POP,p,57882
2024S1,TOTAL,Y055,TOTAL,POP,p,116235
2024S1,TOTAL,Y056,M,POP,p,57772
2024S1,TOTAL,Y056,F,POP,p,57965
2024S1,TOTAL,Y056,TOTAL,POP,p,115737
2024S1,TOTAL,Y057,M,POP,p,56248
2024S1,TOTAL,Y057,F,POP,p,56326
2024S1,TOTAL,Y057,TOTAL,POP,p,112574
2024S1,TOTAL,Y058,M,POP,p,54623
